"text","intent","category","confidence"
"Bà ngoại bị mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Làm sao để chữa sốt?","symptom_inquiry","triệu_chứng","1.0"
"Tuần này mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"amoxicillin là thuốc gì","drug_question","thuốc","1.0"
"Có dấu hiệu mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Xin chào bác sĩ ơi","greeting","chào_hỏi","1.0"
"Tôi thấy mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Xem hay 268","unknown","không_xác_định","1.0"
"Liều lượng thuốc amoxicillin","dosage_question","liều_lượng","1.0"
"Sau khi uống aspirin bị đau đầu","side_effects","tác_dụng_phụ","1.0"
"Cách giữ gìn sức khỏe","general_health","sức_khỏe_tổng_quát","1.0"
"Có triệu chứng đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Xuất hiện triệu chứng đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Mấy ngày nay ho","symptom_inquiry","triệu_chứng","1.0"
"Thuốc paracetamol uống trước hay sau ăn","dosage_question","liều_lượng","1.0"
"Thuốc amoxicillin uống lúc nào","dosage_question","liều_lượng","1.0"
"Tăng cường đề kháng","general_health","sức_khỏe_tổng_quát","1.0"
"Thuốc paracetamol có tác dụng phụ gì","side_effects","tác_dụng_phụ","1.0"
"Tuần này sốt","symptom_inquiry","triệu_chứng","1.0"
"Thuốc paracetamol có an toàn không","drug_question","thuốc","1.0"
"Help! sốc phản vệ","emergency","cấp_cứu","1.0"
"Xem đẹp 181","unknown","không_xác_định","1.0"
"Con tôi bị ho","symptom_inquiry","triệu_chứng","1.0"
"SOS! tim ngừng đập","emergency","cấp_cứu","1.0"
"Tác dụng không mong muốn của paracetamol là gì?","side_effects","tác_dụng_phụ","1.0"
"aspirin là thuốc gì","drug_question","thuốc","1.0"
"Cách sử dụng thuốc amoxicillin","drug_question","thuốc","1.0"
"Làm sao để chữa đau đầu?","symptom_inquiry","triệu_chứng","1.0"
"Cách sống khỏe mạnh","general_health","sức_khỏe_tổng_quát","1.0"
"Đang bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Cần uống thuốc amoxicillin bao lâu","drug_question","thuốc","1.0"
"Thuốc paracetamol uống lúc nào","dosage_question","liều_lượng","1.0"
"Gặp phải tình trạng ho","symptom_inquiry","triệu_chứng","1.0"
"Thuốc paracetamol có hại gì không","side_effects","tác_dụng_phụ","1.0"
"paracetamol có tác dụng phụ gì không","drug_question","thuốc","1.0"
"Uống paracetamol bao nhiêu mg một ngày?","dosage_question","liều_lượng","1.0"
"Ông ấy bị ho","symptom_inquiry","triệu_chứng","1.0"
"Cấp cứu! gãy xương hở","emergency","cấp_cứu","1.0"
"Có triệu chứng mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Báo động đỏ: co giật","emergency","cấp_cứu","1.0"
"Thuốc paracetamol uống bao nhiêu viên","dosage_question","liều_lượng","1.0"
"Tuần này đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Thuốc aspirin có hiệu quả không","drug_question","thuốc","1.0"
"Xuất hiện triệu chứng mệt mỏi","symptom_inquiry","triệu_chứng","1.0"
"Ông cụ 82 tuổi ho đờm có máu và khó thở khi nằm ngửa","emergency","emergency","1.0"
"Uống A chung với B được không?","drug_interaction","drug_interaction","1.0"
"Thuốc ibuprofen có độc hại không","side_effects","tác_dụng_phụ","1.0"
"Tác dụng không mong muốn của aspirin là gì?","side_effects","tác_dụng_phụ","1.0"
"Cách sử dụng paracetamol đúng","dosage_question","liều_lượng","1.0"
"Liều khởi đầu của amoxicillin","dosage_question","liều_lượng","1.0"
"Mua thuốc amoxicillin ở đâu","drug_question","thuốc","1.0"
"Tôi cần tư vấn","greeting","chào_hỏi","1.0"
"Thuốc amoxicillin làm tôi đau đầu","side_effects","tác_dụng_phụ","1.0"
"paracetamol là thuốc gì","drug_question","thuốc","1.0"
"Mẹ tôi bị đau đầu","symptom_inquiry","triệu_chứng","1.0"
"Ăn vui 667","unknown","không_xác_định","1.0"
"Help! chảy máu nhiều","emergency","cấp_cứu","1.0"
"Từ hôm qua đau bụng","symptom_inquiry","triệu_chứng","1.0"
"Liều lượng thuốc aspirin","drug_question","thuốc","1.0"
"Cấp cứu! chảy máu nhiều","emergency","cấp_cứu","1.0"
"Liều dùng của aspirin","dosage_question","liều_lượng","1.0"
"Thuốc amoxicillin có tác dụng gì","drug_question","thuốc","1.0"
"Bảo vệ sức khỏe","general_health","sức_khỏe_tổng_quát","1.0"
"SOS! chảy máu nhiều","emergency","cấp_cứu","1.0"
"Bệnh nhân nữ 29 tuổi mang thai 28 tuần bị tiền sản giật nặng cần làm gì?","emergency","emergency","1.0"
"Giá thuốc aspirin bao nhiêu","drug_question","thuốc","1.0"
"Liều lượng thuốc paracetamol","drug_question","thuốc","1.0"
"Giá thuốc paracetamol bao nhiêu","drug_question","thuốc","1.0"
"Thuốc amoxicillin chữa bệnh gì","drug_question","thuốc","1.0"
"Em bé bị ho","symptom_inquiry","triệu_chứng","1.0"
"Thuốc ibuprofen gây ra triệu chứng gì","side_effects","tác_dụng_phụ","1.0"
"Tác dụng phụ của aspirin","side_effects","tác_dụng_phụ","1.0"
