text,intent,category,confidence
Thuốc lisinopril có ảnh hưởng đến calcium?,drug_interaction,tương_tác_thuốc,1.0
một thời gian ho,symptom_inquiry,triệu_chứng,0.8
thời gian gần đây sốt,symptom_inquiry,triệu_chứng,0.8
Tôi cần tư vấn,greeting,chào_hỏi,1.0
Ai nên thực hiện MRI não?,medical_procedure,thủ_thuật_y_tế,1.0
Hiệu quả của nội soi phế quản ra sao?,medical_procedure,thủ_thuật_y_tế,1.0
Xem đẹp 387,unknown,không_xác_định,1.0
Em bé bị đau dạ dày,symptom_inquiry,triệu_chứng,0.8
Phim ngon 857,unknown,không_xác_định,1.0
Ăn tốt 625,unknown,không_xác_định,1.0
aspirin có tác dụng phụ gì không,drug_question,thuốc,1.0
"Đang dùng metformin, có được uống digoxin?",drug_interaction,tương_tác_thuốc,1.0
Uống paracetamol bao nhiêu mg một ngày?,dosage_question,liều_lượng,1.0
Khi nào cần chụp X-quang?,medical_procedure,thủ_thuật_y_tế,1.0
Trẻ sơ sinh 3 ngày tuổi vàng da mức bilirubin 18mg/dL cần can thiệp gì?,emergency,emergency,1.0
Thuốc omeprazole có tương tác với iron không?,drug_interaction,tương_tác_thuốc,1.0
Phim tốt 967,unknown,không_xác_định,1.0
Ăn hay 846,unknown,không_xác_định,1.0
Hiệu quả của nội soi dạ dày ra sao?,medical_procedure,thủ_thuật_y_tế,1.0
Cách điều trị mệt mỏi,symptom_inquiry,triệu_chứng,0.7
Help! co giật,emergency,cấp_cứu,1.0
Chi phí siêu âm tim bao nhiêu?,medical_procedure,thủ_thuật_y_tế,1.0
abcdefg,unknown,không_xác_định,1.0
Giảm căng thẳng,general_health,sức_khỏe_tổng_quát,1.0
omeprazole là thuốc gì?,drug_question,thuốc,0.7
Thuốc ibuprofen uống lúc nào,dosage_question,liều_lượng,1.0
Phim hay gì,unknown,không_xác_định,1.0
Cấp cứu! ngộ độc nghiêm trọng,emergency,cấp_cứu,1.0
Báo động đỏ: sốt cao trên 40 độ,emergency,cấp_cứu,1.0
Thuốc amoxicillin chữa bệnh gì,drug_question,thuốc,1.0
Cách dùng cetirizine đúng cách,dosage_question,liều_lượng,0.7
Isotretinoin có ảnh hưởng đến thai nhi như thế nào?,side_effects,side_effects,1.0
Tình huống khẩn cấp: tim ngừng đập,emergency,cấp_cứu,1.0
Từ sáng táo bón,symptom_inquiry,triệu_chứng,0.7
Từ hôm qua đau bụng,symptom_inquiry,triệu_chứng,1.0
Cấp cứu! khó thở nghiêm trọng,emergency,cấp_cứu,1.0
Ai nên thực hiện chụp X-quang?,medical_procedure,thủ_thuật_y_tế,1.0
Xem tốt 611,unknown,không_xác_định,1.0
Thay thế cho nội soi phế quản có gì?,medical_procedure,thủ_thuật_y_tế,1.0
Khoảng cách giữa các lần uống ibuprofen,dosage_question,liều_lượng,0.7
Báo động đỏ: mất ý thức,emergency,cấp_cứu,1.0
Uống ibuprofen có hại gì không?,side_effects,tác_dụng_phụ,0.7
Đi tốt 552,unknown,không_xác_định,1.0
Tình trạng nguy kịch: co giật,emergency,cấp_cứu,1.0
Chị ấy bị kiệt sức,symptom_inquiry,triệu_chứng,0.8
metformin có hiệu quả không?,drug_question,thuốc,0.7
Triệu chứng ngứa là gì?,symptom_inquiry,triệu_chứng,0.7
"Hello quý vị, tôi cần hỗ trợ",greeting,chào_hỏi,1.0
Đang bị nhức đầu,symptom_inquiry,triệu_chứng,0.8
Công thức nấu phở bò ngon như thế nào?,unknown,không_xác_định,1.0
Sau khi uống ibuprofen bị buồn nôn,side_effects,tác_dụng_phụ,1.0
Cách sống khỏe với thận yếu?,diet_lifestyle,chế_độ_sinh_hoạt,1.0
Thuốc amoxicillin gây ra triệu chứng gì,side_effects,tác_dụng_phụ,1.0
"Hi, rất vui được gặp chuyên gia",greeting,chào_hỏi,1.0
Thuốc amoxicillin có ảnh hưởng đến calcium?,drug_interaction,tương_tác_thuốc,1.0
Khi nào cần xét nghiệm máu?,medical_procedure,thủ_thuật_y_tế,1.0
Thuốc metformin chữa bệnh gì?,drug_question,thuốc,0.7
SOS! sốc phản vệ,emergency,cấp_cứu,1.0
Kết hợp aspirin với digoxin có an toàn?,drug_interaction,tương_tác_thuốc,1.0
Sau khi uống amoxicillin bị chóng mặt,side_effects,tác_dụng_phụ,1.0
Làm sao để chữa mệt mỏi?,symptom_inquiry,triệu_chứng,1.0
Tác dụng phụ của metformin,side_effects,tác_dụng_phụ,0.7
Tôi bị ngứa,symptom_inquiry,triệu_chứng,0.7
Tôi nên phòng bệnh như thế nào?,general_health,sức_khỏe_tổng_quát,1.0
"Xin chào cô, tôi cần hỗ trợ",greeting,chào_hỏi,1.0
Liều dùng của ibuprofen,dosage_question,liều_lượng,1.0
Lối sống lành mạnh với cholesterol cao?,diet_lifestyle,chế_độ_sinh_hoạt,1.0
Sau khi uống aspirin bị ho,side_effects,tác_dụng_phụ,0.7
Bí quyết để cải thiện tuần hoàn?,general_health,sức_khỏe_tổng_quát,1.0
"Chúc, rất vui được gặp thầy thuốc",greeting,chào_hỏi,1.0
Phim ngon 731,unknown,không_xác_định,1.0
Công thức *chữa* cháy,unknown,không_xác_định,1.0
Trẻ em uống ibuprofen thế nào?,dosage_question,liều_lượng,1.0
"Kính chào, chúc ông/bà bình an",greeting,chào_hỏi,1.0
Cách sống khỏe với tiểu đường?,diet_lifestyle,chế_độ_sinh_hoạt,1.0
"Chào doctor, tôi có câu hỏi",greeting,chào_hỏi,1.0
Chào buổi sáng,greeting,chào_hỏi,1.0
Nhạc vui 409,unknown,không_xác_định,1.0
Phim đẹp 928,unknown,không_xác_định,1.0
Có thể dùng losartan cùng với digoxin không?,drug_interaction,tương_tác_thuốc,1.0
Sau khi uống ibuprofen bị chóng mặt,side_effects,tác_dụng_phụ,1.0
Uống ibuprofen xong bị chóng mặt,side_effects,tác_dụng_phụ,1.0
Thuốc aspirin uống mấy lần một ngày,dosage_question,liều_lượng,1.0
Cách dùng amoxicillin đúng cách,dosage_question,liều_lượng,0.7
Liều dùng ibuprofen cho người lớn,dosage_question,liều_lượng,0.7
Uống acetaminophen xong bị mệt mỏi,side_effects,tác_dụng_phụ,0.8
Liều khởi đầu của amoxicillin,dosage_question,liều_lượng,1.0
Đi vui 660,unknown,không_xác_định,1.0
"Chào buổi sáng, rất vui được gặp thầy",greeting,chào_hỏi,1.0
Tác dụng thuốc metformin,drug_question,thuốc,0.7
Mấy ngày nay sốt,symptom_inquiry,triệu_chứng,1.0
Làm thế nào để giảm stress?,general_health,sức_khỏe_tổng_quát,1.0
Xem đẹp 830,unknown,không_xác_định,1.0
Ăn ngon 222,unknown,không_xác_định,1.0
Vợ/chồng tôi đau đầu,symptom_inquiry,triệu_chứng,0.7
Thuốc amoxicillin có ảnh hưởng đến warfarin?,drug_interaction,tương_tác_thuốc,1.0
Giá thuốc paracetamol bao nhiêu,drug_question,thuốc,1.0
Sau khi uống metformin bị đau đầu,side_effects,tác_dụng_phụ,0.7
Cần cấp cứu ngay! Ông già bị ngạt khói trong đám cháy,emergency,emergency,1.0
Thuốc acetylsalicylic acid làm tôi mệt mỏi,side_effects,tác_dụng_phụ,0.8
Xuất hiện triệu chứng đau bụng,symptom_inquiry,triệu_chứng,1.0
"Xin chào doctor, tôi có câu hỏi",greeting,chào_hỏi,1.0
Chống chỉ định của ibuprofen,side_effects,tác_dụng_phụ,0.7
Hôm nay ho,symptom_inquiry,triệu_chứng,0.7
Cách uống metformin,dosage_question,liều_lượng,0.7
Thuốc amoxicillin làm tôi mệt mỏi,side_effects,tác_dụng_phụ,1.0
Nhạc ngon 769,unknown,không_xác_định,1.0
Thuốc aspirin có hiệu quả không,drug_question,thuốc,1.0
Phim hay 258,unknown,không_xác_định,1.0
Thuốc ibuprofen có tương tác với vitamin C không?,drug_interaction,tương_tác_thuốc,1.0
Ông cụ 82 tuổi ho đờm có máu và khó thở khi nằm ngửa,emergency,emergency,1.0
Cách dùng metformin đúng cách,dosage_question,liều_lượng,0.7
Tôi nên thải độc cơ thể như thế nào?,general_health,sức_khỏe_tổng_quát,1.0
Quy tắc tăng cường trí nhớ cơ bản?,general_health,sức_khỏe_tổng_quát,1.0
Kinh nghiệm chăm sóc da hiệu quả?,general_health,sức_khỏe_tổng_quát,1.0
Cảm thấy sốt,symptom_inquiry,triệu_chứng,1.0
Thuốc paracetamol gây ra triệu chứng gì,side_effects,tác_dụng_phụ,1.0
Thời gian phẫu thuật mất bao lâu?,medical_procedure,thủ_thuật_y_tế,1.0
Nhạc đẹp 978,unknown,không_xác_định,1.0
Liều dùng omeprazole cho người lớn,dosage_question,liều_lượng,0.7
Uống ibuprofen xong bị mệt mỏi,side_effects,tác_dụng_phụ,1.0
Cách sống khỏe mạnh,general_health,sức_khỏe_tổng_quát,1.0
Thuốc paracetamol có độc không?,side_effects,tác_dụng_phụ,0.7
Cần cấp cứu ngay vì gãy xương hở,emergency,cấp_cứu,1.0
Tôi nên tăng cường miễn dịch như thế nào?,general_health,sức_khỏe_tổng_quát,1.0
Ai nên thực hiện sinh thiết?,medical_procedure,thủ_thuật_y_tế,1.0
Khẩn cấp: mất ý thức,emergency,cấp_cứu,1.0
mới đây mệt mỏi,symptom_inquiry,triệu_chứng,0.8
Uống paracetamol có bị buồn nôn không?,side_effects,tác_dụng_phụ,1.0
Có triệu chứng kiệt sức,symptom_inquiry,triệu_chứng,0.8
Quy tắc bảo vệ mắt cơ bản?,general_health,sức_khỏe_tổng_quát,1.0
"Chào, chúc doctor ngày mới tốt lành",greeting,chào_hỏi,1.0
Làm sao để chữa đau đầu?,symptom_inquiry,triệu_chứng,1.0
Cách dùng aspirin đúng cách,dosage_question,liều_lượng,0.7
Hướng dẫn bảo vệ mắt chi tiết?,general_health,sức_khỏe_tổng_quát,1.0
nhức đầu là bệnh gì?,symptom_inquiry,triệu_chứng,0.8
Tương tác giữa paracetamol và insulin như thế nào?,drug_interaction,tương_tác_thuốc,1.0
Cách điều trị ho,symptom_inquiry,triệu_chứng,0.7
Từ hôm qua kiệt sức,symptom_inquiry,triệu_chứng,0.8
Thuốc aspirin làm tôi buồn nôn,side_effects,tác_dụng_phụ,1.0
