text,intent,category,confidence
"""Anh ấy bị ngứa mãn tính""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay khó ngủ về đêm""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị khó ngủ kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua tiêu chảy vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị chán ăn""",symptom_inquiry,triệu_chứng,1.0
"""Ông ấy bị phù nề nhẹ""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay chóng mặt cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên đường huyết cao""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên đau đầu""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này sốt cao""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Bị tê bì lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này đau ngực cấp tính""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua ho khan""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị choáng váng""",symptom_inquiry,triệu_chứng,1.0
"""Bị buồn nôn liên tục""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tuần này buồn nôn""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau lưng""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng phù nề""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi cholesterol cao""",symptom_inquiry,triệu_chứng,1.0
"""Tôi bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay giảm cân khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Bị mất ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua khó thở""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị run tay""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị tăng cân vừa phải""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị lo âu""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay huyết áp cao sau ăn""",symptom_inquiry,triệu_chứng,1.0
"""Bà ngoại bị khàn tiếng""",symptom_inquiry,triệu_chứng,1.0
"""Cảm thấy ngứa""",symptom_inquiry,triệu_chứng,1.0
"""Bị đau vai""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua tê bì""",symptom_inquiry,triệu_chứng,1.0
"""Con tôi bị lo âu""",symptom_inquiry,triệu_chứng,1.0
"""Gần đây tôi viêm da kéo dài""",symptom_inquiry,triệu_chứng,1.0
"""Tháng này viêm da khi vận động""",symptom_inquiry,triệu_chứng,1.0
"""Có dấu hiệu đau cơ""",symptom_inquiry,triệu_chứng,1.0
"""Em bé bị tăng cân""",symptom_inquiry,triệu_chứng,1.0
"""Ba tôi bị đau bụng""",symptom_inquiry,triệu_chứng,1.0
"""Chị ấy bị viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Tôi có triệu chứng chuột rút từ sáng""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua khó ngủ""",symptom_inquiry,triệu_chứng,1.0
"""Thường xuyên giảm cân""",symptom_inquiry,triệu_chứng,1.0
"""Từ hôm qua đau vai lúc nghỉ ngơi""",symptom_inquiry,triệu_chứng,1.0
"""Mẹ tôi bị viêm da""",symptom_inquiry,triệu_chứng,1.0
"""Mấy ngày nay đau khớp""",symptom_inquiry,triệu_chứng,1.0
