text,entities
"""Cô ấy bị khó thở với aspirin và furosemide""","""[{""text"": ""khó thở"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 28}, {""text"": ""aspirin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 28}, {""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 32, ""end"": 42}, {""text"": ""furosemide"", ""label"": ""MEDICATION"", ""start"": 32, ""end"": 42}]"""
"""Bệnh nhân 75 tuổi bị ung thư phổi cần dùng penicillin""","""[{""text"": ""75 tuổi"", ""label"": ""AGE"", ""start"": 10, ""end"": 17}, {""text"": ""ung thư phổi"", ""label"": ""DISEASE"", ""start"": 21, ""end"": 33}, {""text"": ""penicillin"", ""label"": ""MEDICATION"", ""start"": 43, ""end"": 53}]"""
"""Bà ngoại 28 năm tuổi bị khó thở ở bụng""","""[{""text"": ""28 năm tuổi"", ""label"": ""AGE"", ""start"": 9, ""end"": 20}, {""text"": ""khó thở"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""bụng"", ""label"": ""BODY_PART"", ""start"": 34, ""end"": 38}]"""
"""Bị dị ứng ở cột sống từ kéo dài 1 tuần""","""[{""text"": ""dị ứng"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 9}, {""text"": ""cột sống"", ""label"": ""BODY_PART"", ""start"": 12, ""end"": 20}, {""text"": ""kéo dài 1 tuần"", ""label"": ""DURATION"", ""start"": 24, ""end"": 38}]"""
"""Bị đau đầu ở thận từ mấy ngày nay""","""[{""text"": ""đau đầu"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 10}, {""text"": ""thận"", ""label"": ""BODY_PART"", ""start"": 13, ""end"": 17}, {""text"": ""mấy ngày nay"", ""label"": ""DURATION"", ""start"": 21, ""end"": 33}]"""
"""Uống sulfa 1 gói để giảm đau""","""[{""text"": ""sulfa"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 10}, {""text"": ""1 gói"", ""label"": ""DOSAGE"", ""start"": 11, ""end"": 16}, {""text"": ""giảm đau"", ""label"": ""INDICATION"", ""start"": 20, ""end"": 28}]"""
"""Bị táo bón từ 5 ngày""","""[{""text"": ""táo bón"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 10}, {""text"": ""5 ngày"", ""label"": ""DURATION"", ""start"": 14, ""end"": 20}]"""
"""Bị đau ngực từ 5 ngày""","""[{""text"": ""đau ngực"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 11}, {""text"": ""5 ngày"", ""label"": ""DURATION"", ""start"": 15, ""end"": 21}]"""
"""Chị ấy 25 năm tuổi có thai 8 tháng bị đau đầu dữ dội""","""[{""text"": ""25 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""có thai 8 tháng"", ""label"": ""CONDITION"", ""start"": 19, ""end"": 34}, {""text"": ""đau đầu dữ dội"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 52}]"""
"""Ông ấy 85 năm tuổi bị bệnh tim bẩm sinh cần emergency""","""[{""text"": ""85 năm tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 18}, {""text"": ""bệnh tim bẩm sinh"", ""label"": ""DISEASE"", ""start"": 22, ""end"": 39}, {""text"": ""emergency"", ""label"": ""URGENCY"", ""start"": 44, ""end"": 53}]"""
"""Bị ho khan ở lưng từ từ hôm qua""","""[{""text"": ""ho khan"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 10}, {""text"": ""lưng"", ""label"": ""BODY_PART"", ""start"": 13, ""end"": 17}, {""text"": ""từ hôm qua"", ""label"": ""DURATION"", ""start"": 21, ""end"": 31}]"""
"""Bị đau răng ở khớp gối từ 2 ngày""","""[{""text"": ""đau răng"", ""label"": ""SYMPTOM"", ""start"": 3, ""end"": 11}, {""text"": ""khớp gối"", ""label"": ""BODY_PART"", ""start"": 14, ""end"": 22}, {""text"": ""2 ngày"", ""label"": ""DURATION"", ""start"": 26, ""end"": 32}]"""
"""Con tôi 50 tuổi bị khó ngủ và dị ứng""","""[{""text"": ""50 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 15}, {""text"": ""khó ngủ"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""khó ngủ"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 26}, {""text"": ""dị ứng"", ""label"": ""SYMPTOM"", ""start"": 30, ""end"": 36}, {""text"": ""dị ứng"", ""label"": ""SYMPTOM"", ""start"": 30, ""end"": 36}]"""
"""Con tôi 5 năm tuổi bị chuột rút và đau cơ""","""[{""text"": ""5 năm tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 18}, {""text"": ""chuột rút"", ""label"": ""SYMPTOM"", ""start"": 22, ""end"": 31}, {""text"": ""chuột rút"", ""label"": ""SYMPTOM"", ""start"": 22, ""end"": 31}, {""text"": ""đau cơ"", ""label"": ""SYMPTOM"", ""start"": 35, ""end"": 41}, {""text"": ""đau cơ"", ""label"": ""SYMPTOM"", ""start"": 35, ""end"": 41}]"""
"""Chị ấy 30 tuổi cho con bú bị khàn tiếng""","""[{""text"": ""30 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""cho con bú"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 25}, {""text"": ""khàn tiếng"", ""label"": ""SYMPTOM"", ""start"": 29, ""end"": 39}]"""
"""Cô ấy bị đau bụng với ibuprofen và thuốc hạ áp""","""[{""text"": ""đau bụng"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 17}, {""text"": ""ibuprofen"", ""label"": ""MEDICATION"", ""start"": 22, ""end"": 31}, {""text"": ""ibuprofen"", ""label"": ""MEDICATION"", ""start"": 22, ""end"": 31}, {""text"": ""thuốc hạ áp"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 46}, {""text"": ""thuốc hạ áp"", ""label"": ""MEDICATION"", ""start"": 35, ""end"": 46}]"""
"""Chị ấy 50 tuổi bệnh nền bị đau khớp""","""[{""text"": ""50 tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 14}, {""text"": ""bệnh nền"", ""label"": ""CONDITION"", ""start"": 15, ""end"": 23}, {""text"": ""đau khớp"", ""label"": ""SYMPTOM"", ""start"": 27, ""end"": 35}]"""
"""Cô ấy 30 tháng tuổi bị tăng huyết áp nhẹ""","""[{""text"": ""30 tháng tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 19}, {""text"": ""tăng huyết áp"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 36}, {""text"": ""nhẹ"", ""label"": ""SEVERITY"", ""start"": 37, ""end"": 40}]"""
"""Tôi 6 tháng tuổi bị đau đầu một bên""","""[{""text"": ""6 tháng tuổi"", ""label"": ""AGE"", ""start"": 4, ""end"": 16}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 20, ""end"": 35}]"""
"""Chị ấy 60 tháng tuổi tiền sử dị ứng bị khó thở""","""[{""text"": ""60 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""tiền sử dị ứng"", ""label"": ""CONDITION"", ""start"": 21, ""end"": 35}, {""text"": ""khó thở"", ""label"": ""SYMPTOM"", ""start"": 39, ""end"": 46}]"""
"""Cô ấy bị sốt cao với atorvastatin và lisinopril""","""[{""text"": ""sốt cao"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 16}, {""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 33}, {""text"": ""atorvastatin"", ""label"": ""MEDICATION"", ""start"": 21, ""end"": 33}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 37, ""end"": 47}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 37, ""end"": 47}]"""
"""Cô ấy bị chuột rút với metformin và lisinopril""","""[{""text"": ""chuột rút"", ""label"": ""SYMPTOM"", ""start"": 9, ""end"": 18}, {""text"": ""metformin"", ""label"": ""MEDICATION"", ""start"": 23, ""end"": 32}, {""text"": ""metformin"", ""label"": ""MEDICATION"", ""start"": 23, ""end"": 32}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 36, ""end"": 46}, {""text"": ""lisinopril"", ""label"": ""MEDICATION"", ""start"": 36, ""end"": 46}]"""
"""đau lưng mãn tính kèm theo phù nề từ 2 tuần""","""[{""text"": ""đau lưng mãn tính"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 17}, {""text"": ""đau lưng mãn tính"", ""label"": ""SYMPTOM"", ""start"": 0, ""end"": 17}, {""text"": ""phù nề"", ""label"": ""SYMPTOM"", ""start"": 27, ""end"": 33}, {""text"": ""phù nề"", ""label"": ""SYMPTOM"", ""start"": 27, ""end"": 33}, {""text"": ""2 tuần"", ""label"": ""DURATION"", ""start"": 37, ""end"": 43}]"""
"""Cô ấy 15 tháng tuổi bị viêm gan vừa phải""","""[{""text"": ""15 tháng tuổi"", ""label"": ""AGE"", ""start"": 6, ""end"": 19}, {""text"": ""viêm gan"", ""label"": ""DISEASE"", ""start"": 23, ""end"": 31}, {""text"": ""vừa phải"", ""label"": ""SEVERITY"", ""start"": 32, ""end"": 40}]"""
"""Con tôi 5 tháng tuổi bị mệt mỏi và stress""","""[{""text"": ""5 tháng tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 20}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""mệt mỏi"", ""label"": ""SYMPTOM"", ""start"": 24, ""end"": 31}, {""text"": ""stress"", ""label"": ""SYMPTOM"", ""start"": 35, ""end"": 41}, {""text"": ""stress"", ""label"": ""SYMPTOM"", ""start"": 35, ""end"": 41}]"""
"""Chị ấy 45 tháng tuổi suy gan bị đau tim""","""[{""text"": ""45 tháng tuổi"", ""label"": ""AGE"", ""start"": 7, ""end"": 20}, {""text"": ""suy gan"", ""label"": ""CONDITION"", ""start"": 21, ""end"": 28}, {""text"": ""đau tim"", ""label"": ""SYMPTOM"", ""start"": 32, ""end"": 39}]"""
"""Con tôi 65 tuổi bị đau đầu một bên và đau tim""","""[{""text"": ""65 tuổi"", ""label"": ""AGE"", ""start"": 8, ""end"": 15}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 34}, {""text"": ""đau đầu một bên"", ""label"": ""SYMPTOM"", ""start"": 19, ""end"": 34}, {""text"": ""đau tim"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 45}, {""text"": ""đau tim"", ""label"": ""SYMPTOM"", ""start"": 38, ""end"": 45}]"""
"""Dùng doxycycline 2 viên mỗi 12 giờ""","""[{""text"": ""doxycycline"", ""label"": ""MEDICATION"", ""start"": 5, ""end"": 16}, {""text"": ""2 viên"", ""label"": ""DOSAGE"", ""start"": 17, ""end"": 23}, {""text"": ""mỗi 12 giờ"", ""label"": ""FREQUENCY"", ""start"": 24, ""end"": 34}]"""
